banco,verba_codigo,verba_descricao,formula_id,formula_descricao,tipo_dependencia,dependencia_bruta,dependencia_nome,dependencia_tipo_semantico,escopo_dependencia,resolucao_local,detalhe_resolucao,formula_normalizada
rhlinkcon,1000,Salário,9,salario,rubrica_referenciada,r{vencimento},vencimento,resultado_de_outra_rubrica,direta,alias_funcional,vencimento,"salario = r{vencimento} + r{titulacao_aperfeicoamento} 
salario = salario - r{vale_transporte} 
salario*1"
rhlinkcon,1000,Salário,9,salario,rubrica_referenciada,r{titulacao_aperfeicoamento},titulacao_aperfeicoamento,resultado_de_outra_rubrica,direta,alias_funcional,titulacao_aperfeicoamento,"salario = r{vencimento} + r{titulacao_aperfeicoamento} 
salario = salario - r{vale_transporte} 
salario*1"
rhlinkcon,1000,Salário,9,salario,rubrica_referenciada,r{vale_transporte},vale_transporte,resultado_de_outra_rubrica,direta,alias_funcional,vale_transporte,"salario = r{vencimento} + r{titulacao_aperfeicoamento} 
salario = salario - r{vale_transporte} 
salario*1"
rhlinkcon,1101,Vencimento,1,vencimento,campo_objeto,o{referenciaSalarialCargo.valor},referenciaSalarialCargo.valor,campo_do_contexto_objeto,direta,atributo_formula_catalogado,Referencia Salarial Cargo,o{referenciaSalarialCargo.valor}
rhlinkcon,1107,Adicional de Titulação e Aperfeiçoamento,8,titulacao_aperfeicoamento,campo_objeto,o{grauInstrucao},grauInstrucao,campo_do_contexto_objeto,direta,atributo_formula_catalogado,Grau Instrução,"percent = 0 
SE ( ""o{grauInstrucao}"" == ""SUPERIOR_COMPLETO"") 
ENTAO percent = 0.07
SENAO_SE ( ""o{grauInstrucao}"" == ""ESPECIALIZACAO_POS_GRADUACAO"" ) 
ENTAO percent = 0.1
SENAO_SE ( ""o{grauInstrucao}"" == ""MESTRADO"") 
ENTAO percent = 0.12 
FIM_SE 
r{vencimento} * percent"
rhlinkcon,1107,Adicional de Titulação e Aperfeiçoamento,8,titulacao_aperfeicoamento,rubrica_referenciada,r{vencimento},vencimento,resultado_de_outra_rubrica,direta,alias_funcional,vencimento,"percent = 0 
SE ( ""o{grauInstrucao}"" == ""SUPERIOR_COMPLETO"") 
ENTAO percent = 0.07
SENAO_SE ( ""o{grauInstrucao}"" == ""ESPECIALIZACAO_POS_GRADUACAO"" ) 
ENTAO percent = 0.1
SENAO_SE ( ""o{grauInstrucao}"" == ""MESTRADO"") 
ENTAO percent = 0.12 
FIM_SE 
r{vencimento} * percent"
rhlinkcon,1112,Gratificação por Regência de Classe,16,gratificacao_regencia_classe,nenhuma_ref_explicita,,,,direta,,,214.00 * 1
rhlinkcon,1158,Gratificação por Maturação Profissional,19,gratificacao_maturacao_profissional,campo_objeto,o{referenciaSalarialCargo.valor},referenciaSalarialCargo.valor,campo_do_contexto_objeto,direta,atributo_formula_catalogado,Referencia Salarial Cargo,"o{referenciaSalarialCargo.valor} 
 * 
 0.2"
rhlinkcon,1229,Adicional de Incentivo Funcional ( Motorista),17,adicional_incentivo_funcional_motorista,campo_objeto,o{referenciaSalarialCargo.valor},referenciaSalarialCargo.valor,campo_do_contexto_objeto,direta,atributo_formula_catalogado,Referencia Salarial Cargo,"o{referenciaSalarialCargo.valor} 
 * 
 0.3"
rhlinkcon,1236,Adicional por Regime Especial de Trabalho Policial – RETP,18,adicional_rept,campo_objeto,o{referenciaSalarialCargo.valor},referenciaSalarialCargo.valor,campo_do_contexto_objeto,direta,atributo_formula_catalogado,Referencia Salarial Cargo,"o{referenciaSalarialCargo.valor} 
 * 
 1.0"
